window_start,window_end,anomaly_score,is_anomaly,mean,std,var,rms,min,max,ptp,median,mad,skew,kurtosis,zero_crossing_rate,crest_factor,dominant_freq,main_peak_power,spectral_centroid,spectral_bandwidth,spectral_rolloff_85,spectral_entropy,peak_ratio,band_energy_0_5.55556e-05hz,band_energy_5.55556e-05_0.000166667hz,band_energy_0.000166667_0.000555556hz,thd,autocorr_lag1,trend_slope
0,96,-0.10145248781350169,False,5.981527777777778,0.44351174794508225,0.1967026705653022,5.997776941562661,5.08,7.403333333333333,2.3233333333333333,6.006666666666668,0.26333333333333364,0.023514903451063232,0.5545576810808424,0.5684210526315789,1.2343462261874705,0.0004282407407407407,1290.9107334814962,0.0002934188323536988,0.00014130009113573518,0.0004282407407407407,0.870653632673911,0.1115251065893529,0.07354251835323054,0.18620504521804293,0.739515084363783,0.0,0.005901560055695183,-5.355449046441942e-06
48,144,-0.054068209184613525,False,5.89203125,0.413805842197219,0.1712352750365497,5.9063934702347325,4.896666666666667,6.703333333333333,1.8066666666666658,5.941666666666666,0.24833333333333352,-0.5208794971214891,-0.23447631579748007,0.631578947368421,1.1349283394534488,0.00047453703703703704,2998.372084604986,0.0003603919793552702,0.00015813090673687003,0.0004861111111111111,0.7878410346012629,0.18392133683662265,0.10429425605758726,0.07966583906826044,0.8145917879865405,0.0,-0.32379742672332074,1.0099902534113634e-06
96,192,-0.07923737386842988,False,5.887343749999999,0.3879849410869369,0.15053231451023386,5.899981415244583,4.896666666666667,6.746666666666667,1.8499999999999996,5.908333333333333,0.2783333333333333,-0.17023529456419095,-0.22984834053683567,0.6210526315789474,1.1435064268564041,0.0004282407407407407,1122.4678857893123,0.00033381025325785737,0.0001431416616277949,0.0004976851851851852,0.8837564666069658,0.08949470307054078,0.041563875174785596,0.14249435716623518,0.8153568367963135,0.0,-0.2792936499516489,-3.579233737263658e-07
144,240,-0.08876958869753337,False,5.842465277777779,0.36135199174706534,0.13057526193957117,5.853513101121411,4.953333333333333,6.746666666666667,1.793333333333334,5.865,0.27,0.02078081228240977,-0.41196397923297257,0.5473684210526316,1.152584191769041,0.00016203703703703703,1438.4404413189213,0.00028480253576766186,0.00015858047614355865,0.0004861111111111111,0.8796138198326167,0.11017876290162426,0.05896313469070746,0.27190370703900446,0.6644307717013918,0.0,-0.154325432032029,-1.5938938124233349e-06
192,288,-0.13602126912212203,False,10.953506944444444,6.445514807921285,41.54466113913255,12.69217154919753,4.953333333333333,21.5,16.546666666666667,6.303333333333335,0.9066666666666676,0.5739224673804407,-1.5587546100937317,0.021052631578947368,1.6939575640511773,1.1574074074074073e-05,1963307.9610673124,3.103368720414087e-05,6.187457041643769e-05,3.472222222222222e-05,0.35902906930025824,0.5741076783507398,0.9124435747974929,0.05847819182316348,0.027894080424144697,0.0,0.9619317188219442,0.00018157987681115728
240,336,-0.1538521593497167,False,11.139687499999999,6.315743015895775,39.88860984283625,12.789282274152955,4.983333333333333,21.5,16.516666666666666,6.961666666666667,1.5800000000000005,0.5626005205022984,-1.544641023366105,0.042105263157894736,1.6810951184844565,1.1574074074074073e-05,1812664.4314724437,2.606082206463139e-05,5.2899386545724475e-05,2.3148148148148147e-05,0.3159402739524329,0.6046233715005155,0.9428807201708185,0.0366056182930177,0.019650262064008068,0.0,0.9525453765669086,-0.00016827940053455498
288,384,-0.15688293488055394,False,11.492881944444447,6.663537241288079,44.40272856603314,13.267499219235228,4.983333333333333,23.933333333333334,18.95,7.343333333333333,1.9799999999999995,0.6271565258845865,-1.3610446468958324,0.042105263157894736,1.8039068959305435,1.1574074074074073e-05,2100184.397054304,3.021319344132015e-05,7.02570427877254e-05,2.3148148148148147e-05,0.3008774315399518,0.6269592332425924,0.9503935643904655,0.013079927035827903,0.03640204306798967,0.0,0.9505070905309391,0.00018252991800807864
336,432,-0.15482018177301027,False,11.637864583333334,6.546491930097067,42.856556590826024,13.336042373445826,5.056666666666667,23.933333333333334,18.876666666666665,7.5683333333333325,1.8266666666666653,0.6380773519596966,-1.3473152004566462,0.042105263157894736,1.7946353695596078,1.1574074074074073e-05,1998459.9528865917,2.6711679340797035e-05,5.1579924193470554e-05,3.472222222222222e-05,0.3292120665421396,0.5742109644432545,0.9465349359848438,0.0336999021980609,0.019706266305018157,0.0,0.9534039373685109,-0.00017944302516026596
384,480,-0.1555048451284461,False,11.215434027777777,6.031910892923009,36.38394902016325,12.719705577671164,5.056666666666667,23.549999999999997,18.493333333333332,7.555,1.7799999999999994,0.6576040933677174,-1.291797700973795,0.042105263157894736,1.8514579489433347,1.1574074074074073e-05,1807398.0061644826,3.13351950492169e-05,6.527164464301093e-05,2.3148148148148147e-05,0.3284698757281513,0.5857781429609537,0.9418934461579368,0.01753095675062459,0.04055482842609636,0.0,0.9533536211296545,0.00015544644651433853
432,528,-0.15995761117798807,False,10.95482638888889,6.247421266743727,39.03027248416179,12.594916766556318,4.8133333333333335,23.549999999999997,18.736666666666665,7.321666666666667,2.1350000000000002,0.6305240823983428,-1.324497553980286,0.042105263157894736,1.8698019555421905,1.1574074074074073e-05,1745257.2014550066,2.44296225647151e-05,4.915251312881898e-05,2.3148148148148147e-05,0.2928296000741627,0.6504538073879288,0.9518068246854908,0.028754085853311608,0.019428944133193436,0.0,0.953160180262554,-0.00018361068406985373
