start_index,matrix_profile,nearest_neighbor_index
0,10.249719187421746,24276
1,10.21136711565103,18224
2,10.381003787895397,24278
3,10.425904848396522,24279
4,10.204058085052564,20837
5,10.626656724916273,103
6,10.780827688678402,24907
7,10.791694725288469,1993
8,10.804693810247048,106
9,10.825912473325685,1995
10,10.914937512351882,1688
11,10.81189206196781,1487
12,10.716481630907076,1998
13,10.722631776704882,5445
14,10.745630410443864,2000
15,10.88968269495694,1491
16,10.767004242588213,24917
17,10.736285764836033,24918
18,10.777982683131341,24919
19,10.84186224283566,24920
20,10.857053376964732,24921
21,10.829850451804074,49
22,10.749066592561801,24923
23,10.86952292381548,24924
24,10.79019205472624,24925
25,10.82741753183538,53
26,10.850923168315461,24927
27,10.864254931998206,6152
28,10.793291691145804,6153
29,10.84847983846548,6154
30,10.795863833562999,6155
31,10.803835062641975,6156
32,10.710871125404267,6157
33,10.623481720522461,6158
34,10.598953713245079,6159
35,10.723813768277893,6160
36,10.713181743493578,6161
37,10.65111570235704,6162
38,10.672919129067767,6163
39,10.6228780189417,6164
40,10.785906584641808,6165
41,10.842095672374548,6166
42,10.918507234706562,6167
43,10.866563411628652,6168
44,10.71119243654707,6169
45,10.73646772510764,6170
46,10.59380838839018,6171
47,10.615103760123382,6172
48,10.436520729958076,6173
49,10.386410494711615,6174
50,10.504729209599965,6175
51,10.52758057028054,6176
52,10.505138600382267,6177
53,10.470392405545372,6178
54,10.367591899478,6179
55,10.460915171195937,6180
56,10.450381730532289,6181
57,10.42765579114829,6182
58,10.391624634374036,6183
59,10.620852791707238,6184
60,10.539812786396226,6185
61,10.527624738526919,6186
62,10.48647129861281,6187
63,10.515827371010063,6188
64,10.484338988001689,6189
65,10.56062748150121,6190
66,10.55845389042311,6191
67,10.563894756458922,6192
68,10.57420322010615,6193
69,10.557374332723835,6194
70,10.466484757998158,6195
71,10.485327576012672,4048
72,10.490681306048119,4049
73,10.511606964569076,4050
74,10.395158098158761,4051
75,10.32195638254873,4052
76,10.304449415147136,4053
77,10.35921844770567,4054
78,10.372226197128764,4055
79,10.340113456791045,4056
80,10.496799251942818,4057
81,10.549807774408608,4058
82,10.704691469351628,4059
83,10.732530724876705,4060
84,10.545446000119645,4061
85,10.599213047397805,4062
86,10.622056888333905,4063
87,10.619264868937874,4064
88,10.625279149906726,4065
89,10.624463026435459,4066
90,10.52107050598628,4067
91,10.53155067458048,4068
92,10.617602085421886,4069
93,10.555450246707764,4070
94,10.680958082940887,4071
95,10.811876233220625,4072
96,10.924647074178708,4073
97,10.87426669196865,4074
98,10.672228992663683,4075
99,10.483453288564105,4076
100,10.349183669318656,4077
101,10.48786461846358,4078
102,10.442450195884314,4079
103,10.523474857374305,4080
104,10.645735129472653,4081
105,10.592403067530423,4082
106,10.646539634439108,4083
107,10.68321649998663,4084
108,10.748595388160735,4085
109,10.767525020342212,5464
110,10.88307497385399,5465
111,10.992640571879036,5466
112,11.029525438840587,2749
113,11.077687845703668,2750
114,10.88465974848869,1492
115,10.92695139418509,1493
116,10.949211021139167,1494
117,10.745314779130506,1495
118,10.74326742019542,1496
119,10.759643647056768,1497
120,10.791953974239823,1498
121,10.820109738692986,1499
122,10.814862740647378,1500
123,11.002378414119523,1501
124,11.001469885869534,1502
125,10.869816565770428,1503
126,10.77578199888166,1504
127,10.676673338272584,1505
128,10.749892747227642,1506
129,10.610276679827896,1507
130,10.599982184124993,1508
131,10.71509748252691,1509
132,10.690363122200765,1510
133,10.780370800503903,1511
134,10.843987813291648,1512
135,10.975384330725426,1513
136,11.174836545189342,13560
137,11.185819329907503,1515
138,11.279059643081991,13562
139,11.246078564403195,13563
140,11.077931047102393,1763
141,11.072461119821487,1764
142,10.98719863287198,1765
143,11.000817842676225,1766
144,10.896380908350903,1767
145,10.83981448560639,1768
146,10.933398037719785,1769
147,10.95280826209195,1770
148,11.146556487605483,1278
149,11.084425205429149,1279
150,6.298512474706761,16953
151,4.542519196661776,825
152,4.016220848157638,826
153,3.3237949088160668,25689
154,2.5130048580806936,25690
155,2.2733167048804956,25691
156,2.152210374181745,25692
157,2.2803569332682,17629
158,2.163602539795573,17630
159,2.0683798507636997,17631
160,2.0066711130546984,17632
161,2.1147160595002052,17633
162,1.9985180826872735,17634
163,1.918910435372949,17635
164,1.939999582965747,17636
165,1.8757660196162453,17637
166,1.95811191587799,17638
167,1.906977141026442,17639
168,1.9659577717220593,18313
169,1.9378719350109515,18314
170,1.8933922964565475,18315
171,1.8427354673745882,18316
172,1.8077373645339676,18317
173,1.8358405020152784,18318
174,1.8220590576409914,18319
175,1.8208716064831145,18320
176,1.8169411597053575,18321
177,1.8314702415216937,18322
178,1.8473624777649416,18323
179,1.9043785622801288,18324
180,1.8964141984171632,18325
181,1.8817559969613893,18326
182,1.869554160666262,18327
183,1.8606284787618126,18328
184,1.8914117211428687,18329
185,1.9760191813171901,2873
186,1.9781355525422717,2874
187,2.005171529389547,2875
188,2.0562240364032665,2876
189,2.06666635751465,2877
190,2.0638930834346985,2878
191,2.067811675077013,2879
192,2.070963984411908,2880
193,2.086995721538989,2881
194,2.0860806900692945,2882
195,2.076936780526229,2883
196,2.090187196079154,2884
197,2.0934597437912545,2885
198,2.088295413685004,2886
199,2.090734027125845,2887
200,2.088920683379313,2888
201,2.0930587087514256,2889
202,2.098710686092104,2890
203,2.086825908249879,2891
204,2.0874646884583887,2892
205,2.0928661689895645,2893
206,2.10515402014245,2894
207,2.1047036210365495,2895
208,2.13604772727354,2896
209,2.1548382449818893,2897
210,2.1707069477830108,2898
211,2.1715991143304283,2899
212,2.17068571930827,2900
