start_index,matrix_profile,nearest_neighbor_index,robust_zscore
138.0,11.279059643081991,13562.0,12.297690588664295
772.0,11.330319294947275,1346.0,12.366552118250771
1335.0,11.17625782131439,17545.0,12.15958799854531
1442.0,11.340685906328932,17496.0,12.38047848509863
2143.0,11.301771591913635,22251.0,12.328201516451069
2778.0,11.308375186295962,9545.0,12.337072696675444
3461.0,11.285044110470347,1305.0,12.30573004197946
4116.0,11.342205615415622,1456.0,12.382520041926036
4769.0,11.420264352082578,1878.0,12.487383103005754
5418.0,11.413165157252426,1274.0,12.477846139779366
8119.0,11.363366382586072,758.0,12.410947133050454
12740.0,11.248446215517236,12788.0,12.256564920204157
14824.0,11.42504591650429,9.0,12.49380659259091
14969.0,11.330730959031202,17588.0,12.367105142266025
16898.0,11.185178540579031,10819.0,12.171571973293894
17511.0,11.281949800196399,23577.0,12.301573187012144
17613.0,11.230314378075592,3355.0,12.23220685269862
18288.0,11.176289074140493,15008.0,12.159629983173202
18945.0,11.456062128733475,14816.0,12.535473356573107
19585.0,11.568670308553173,1750.0,12.686749676722776
20889.0,11.434217863317503,10766.0,12.50612806306253
21571.0,11.356033835618332,11574.0,12.401096687688666
22274.0,11.35453163568827,21651.0,12.399078652427704
22861.0,11.303950770959144,18950.0,12.331128996386182
23639.0,11.31486315941951,4811.0,12.345788552849763
24287.0,11.257984532120984,10816.0,12.2693785669441
24875.0,11.203320059394425,24927.0,12.195943046627225
25547.0,11.311613625267613,6762.0,12.341423172204353
25647.0,11.40770641113493,2688.0,12.470512933376348
26030.0,11.3000006076395,12829.0,12.325822399903204
